Game Name,ROM SIZE (bytes),ROM SIZE (Mb)
Bishoujo Janshi Suchie-Pai (Japan) (Rev 1),"2,097,152",16
Frantic Flea (Europe),"2,097,152",16
Frantic Flea (USA),"2,097,152",16
Prince of Persia 2 (Europe),"2,097,152",16
Bishoujo Janshi Suchie-Pai (Japan),"2,097,152",16
NHL 98 (USA),"2,097,152",16
Prince of Persia 2 (USA),"2,097,152",16
Prince of Persia 2 - The Shadow & the Flame (USA) (Beta),"2,097,152",16
Bishoujo Senshi Sailor Moon R (Japan),"2,097,152",16
Tick The (USA),"2,097,152",16
Bubsy in Claws Encounters of the Furred Kind (USA) (Beta 2),"2,097,152",16
Thoroughbred Breeder III (Japan),"2,097,152",16
Natsume Championship Wrestling (USA),"2,097,152",16
Thoroughbred Breeder II (Japan),"2,097,152",16
Tecmo Super Bowl II - Special Edition (Japan) (En),"2,097,152",16
Tecmo Super Bowl II - Special Edition (USA),"2,097,152",16
Tecmo Super Bowl III - Final Edition (Japan) (En),"2,097,152",16
Tecmo Super Bowl III - Final Edition (USA),"2,097,152",16
Full Power (Japan),"2,097,152",16
Full Throttle - All-American Racing (Europe),"2,097,152",16
Theme Park (Japan),"2,097,152",16
Full Throttle - All-American Racing (USA) (Beta),"2,097,152",16
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan),"2,097,152",16
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Sample),"2,097,152",16
Teenage Mutant Hero Turtles - Tournament Fighters (Europe),"2,097,152",16
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 2),"2,097,152",16
Teenage Mutant Ninja Turtles - Mutant Warriors (Japan),"2,097,152",16
Teenage Mutant Ninja Turtles - Tournament Fighters (Australia),"2,097,152",16
Teenage Mutant Ninja Turtles - Tournament Fighters (USA) (Beta),"2,097,152",16
Teenage Mutant Ninja Turtles - Tournament Fighters (USA),"2,097,152",16
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 1),"2,097,152",16
Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (Japan),"2,097,152",16
Princess Maker - Legend of Another World (Japan),"2,097,152",16
Game no Tetsujin - The Shanghai (Japan),"2,097,152",16
Game no Tatsujin (Japan),"2,097,152",16
Nekketsu Tairiku Burning Heroes (Japan),"2,097,152",16
Bubsy in Claws Encounters of the Furred Kind (USA) (Beta 1),"2,097,152",16
Full Throttle - All-American Racing (USA),"2,097,152",16
Funaki Masakatsu Hybrid Wrestler - Tougi Denshou (Japan),"2,097,152",16
Fune Tarou (Japan),"2,097,152",16
Tekken 2 (World) (Unl) (Pirate),"2,097,152",16
Tenchi Muyou! - Game Hen (Japan) (Sample),"2,097,152",16
Tenchi Muyou! - Game Hen (Japan),"2,097,152",16
Furuta Atsuya no Simulation Pro Yakyuu 2 (Japan),"2,097,152",16
New Horizons (USA),"2,097,152",16
Princess Minerva (Japan),"2,097,152",16
Bubsy in - Claws Encounters of the Furred Kind (USA),"2,097,152",16
Tenryuu Genichirou no Pro Wres Revolution (Japan),"2,097,152",16
Newman Haas IndyCar featuring Nigel Mansell (Europe),"2,097,152",16
GT Racing (Japan),"2,097,152",16
Newman Haas IndyCar featuring Nigel Mansell (USA),"2,097,152",16
Gaia Gensouki (Japan),"2,097,152",16
FIFA Soccer 97 (USA) (EnFrDeEsItSv),"1,966,080",15
Mouryou Senki Madara 2 (Japan),"1,572,864",12
J.League Excite Stage '94 (Japan) (Rev 1),"1,572,864",12
Wayne Gretzky and the NHLPA All-Stars (USA) (Beta),"1,572,864",12
WCW Super Brawl Wrestling (USA),"1,572,864",12
E.V.O. - Search for Eden (USA),"1,572,864",12
Oonita Atsushi FMW (Japan),"1,572,864",12
Oonita Atsushi FMW (Japan) (Beta),"1,572,864",12
Eien no Filerna (Japan),"1,572,864",12
Pocky & Rocky 2 (Europe),"1,572,864",12
Pocky & Rocky 2 (USA) (Beta),"1,572,864",12
Pocky & Rocky 2 (USA),"1,572,864",12
ActRaiser 2 (USA),"1,572,864",12
Elfaria - The Isle of the Blest (Japan),"1,572,864",12
Elnard (Japan),"1,572,864",12
Ogre Battle - The March of the Black Queen (USA),"1,572,864",12
ActRaiser 2 - Chinmoku e no Seisen (Japan),"1,572,864",12
Esparks - Ijikuu kara no Raihousha (Japan),"1,572,864",12
Actraiser 2 (Europe) (EnFrDe),"1,572,864",12
Popeye - Ijiwaru Majo Sea Hag no Maki (Japan),"1,572,864",12
Europe Sensen (Japan),"1,572,864",12
F-1 Grand Prix - Part II (Japan),"1,572,864",12
FIFA Soccer 96 (Europe) (EnFrDeEsItSv),"1,572,864",12
Nomark Baku Haitou - Shijou Saikyou no Janshi-tachi (Japan),"1,572,864",12
Ultra League - Moero! Soccer Daikessen!! (Japan),"1,572,864",12
Ultra Baseball Jitsumei Ban 3 (Japan),"1,572,864",12
FIFA Soccer 96 (USA) (EnFrDeEsItSv),"1,572,864",12
Dual Orb - Seirei Tama Densetsu (Japan),"1,572,864",12
Capcom's Soccer Shootout (USA) (Beta),"1,572,864",12
Ultimate Fighter (USA),"1,572,864",12
Ultima VII - The Black Gate (Japan),"1,572,864",12
Fatal Fury (Europe),"1,572,864",12
Fatal Fury (USA),"1,572,864",12
Ultima - Kyouryuu Teikoku (Japan),"1,572,864",12
Troy Aikman NFL Football (USA),"1,572,864",12
Power Lode Runner (Japan) (NP),"1,572,864",12
Troy Aikman NFL Football (Europe),"1,572,864",12
Drift King Shutokou Battle 2 - Tsuchiya Keiichi & Bandou Masaaki (Japan),"1,572,864",12
Drift King Shutokou Battle '94 - Tsuchiya Keiichi & Bandou Masaaki (Japan),"1,572,864",12
Dark Kingdom (Japan),"1,572,864",12
Dream Basketball - Dunk & Hoop (Japan),"1,572,864",12
Final Stretch (Japan),"1,572,864",12
Nintama Rantarou (Japan),"1,572,864",12
Ninjawarriors Again The (Japan),"1,572,864",12
Power of the Hired (Japan),"1,572,864",12
Ninjawarriors - The New Generation (Europe),"1,572,864",12
Torneko no Daibouken - Fushigi no Dungeon (Japan),"1,572,864",12
Torneko no Daibouken - Fushigi no Dungeon (Japan) (Rev 1),"1,572,864",12
Ninjawarriors (USA),"1,572,864",12
Ninja Ryuuken Den Tomoe (Japan),"1,572,864",12
Ninja Gaiden Trilogy (USA),"1,572,864",12
Top Management II (Japan),"1,572,864",12
Nickelodeon GUTS (USA),"1,572,864",12
Dragon Slayer - Eiyuu Densetsu II (Japan),"1,572,864",12
Dragon Quest V - Tenkuu no Hanayome (Japan),"1,572,864",12
Tintin in Tibet (Europe) (EnFrDeNl),"1,572,864",12
Nichibutsu Collection 2 (Japan),"1,572,864",12
Timon & Pumbaa's Jungle Games (USA),"1,572,864",12
Timon & Pumbaa's Jungle Games (Europe),"1,572,864",12
From TV Animation Slam Dunk - Dream Team - Shuueisha Limited (Japan),"1,572,864",12
From TV Animation Slam Dunk - SD Heat Up!! (Japan),"1,572,864",12
From TV Animation Slam Dunk - Yonkyou Gekitotsu!! (Japan),"1,572,864",12
Dragon Quest I & II (Japan),"1,572,864",12
GP-1 - Part II (USA),"1,572,864",12
GP-1 RS - Rapid Stream (Japan) (En),"1,572,864",12
Nice de Shot (Japan),"1,572,864",12
Galaxy Robo (Japan),"1,572,864",12
Tenshi no Uta - Shiroki Tsubasa no Inori (Japan),"1,572,864",12
New Yatterman - Nandai Kandai Yajirobee (Japan),"1,572,864",12
Tenchi o Kurau - Sangokushi Gunyuuden (Japan),"1,572,864",12
Downtown - Nekketsu Baseball Monogatari - Yakyuu de Shoubu da! Kunio-kun (Japan),"1,572,864",12
Doraemon 4 - Nobita to Tsuki no Oukoku (Japan),"1,572,864",12
Gamera - Gyaos Gekimetsu Sakusen (Japan),"1,572,864",12
Tecmo Super Bowl (USA),"1,572,864",12
Tecmo Super Bowl (USA) (Beta),"1,572,864",12
Tecmo Super Bowl (Japan) (En),"1,572,864",12
Naruhodo! The World (Japan),"1,572,864",12
Tecmo Super Baseball (USA),"1,572,864",12
Tecmo Super Baseball (USA) (Beta),"1,572,864",12
Nage Libre - Seijaku no Suishin (Japan),"1,572,864",12
Bugs Bunny - Hachamecha Daibouken (Japan),"1,572,864",12
Tecmo Super Baseball (Japan) (En),"1,572,864",12
Bugs Bunny - Rabbit Rampage (Europe),"1,572,864",12
Tecmo Secret of the Stars (USA),"1,572,864",12
Garou Densetsu - Shukumei no Tatakai (Japan) (Rev 1),"1,572,864",12
Putty Squad (Europe),"1,572,864",12
Bishoujo Senshi Sailor Moon (Japan),"1,572,864",12
Garou Densetsu - Shukumei no Tatakai (Japan),"1,572,864",12
Dai-3-ji Super Robot Taisen (Japan),"1,572,864",12
NHL 97 (USA),"1,572,864",12
Dai-3-ji Super Robot Taisen (Japan) (Rev 2),"1,572,864",12
NHL 97 (USA) (Rev 1),"1,572,864",12
Dai-3-ji Super Robot Taisen (Japan) (Rev 1),"1,572,864",12
Doraemon 3 - Nobita to Toki no Hougyoku (Japan),"1,572,864",12
Takahashi Meijin no Daibouken-jima II (Japan),"1,572,864",12
Get in the Hole (Japan),"1,572,864",12
NHL 97 (Europe),"1,572,864",12
NHL 97 (Europe) (Rev 1),"1,572,864",12
Taikou Risshiden (Japan),"1,572,864",12
NHL 96 (USA),"1,572,864",12
NHL 96 (Europe),"1,572,864",12
NHL '97 (USA) (Beta),"1,572,864",12
Gindama Oyakata no Pachinko Hisshouhou (Japan) (Rev 1),"1,572,864",12
Gindama Oyakata no Pachinko Hisshouhou (Japan),"1,572,864",12
Tactical Soccer (Japan),"1,572,864",12
World Cup USA 94 (Europe) (EnFrDeEsItNlPtSv),"1,572,864",12
TNN Bass Tournament of Champions (USA),"1,572,864",12
Go Go Ackman 2 (Japan),"1,572,864",12
Sword World SFC (Japan),"1,572,864",12
Ranma 1-2 (Europe) (Beta),"1,572,864",12
Ranma 1-2 (Europe),"1,572,864",12
Ranma 1-2 (France),"1,572,864",12
Ranma 1-2 - Akanekodan Teki Hihou (Japan),"1,572,864",12
Ranma 1-2 - Bakuretsu Rantou Hen (Japan),"1,572,864",12
World Cup USA 94 (Japan) (EnFrDeEsItNlPtSv),"1,572,864",12
World Cup USA 94 (USA) (EnFrDeEsItNlPtSv),"1,572,864",12
Ranma 1-2 - Hard Battle (USA),"1,572,864",12
NCAA Final Four Basketball (USA),"1,572,864",12
Great Battle IV The (Japan) (Sample),"1,572,864",12
96 Zenkoku Koukou Soccer Senshuken (Japan),"1,572,864",12
Great Battle IV The (Japan),"1,572,864",12
Great Battle V The (Japan),"1,572,864",12
Great Circus Mystery Starring Mickey & Minnie The (Europe),"1,572,864",12
Super Zugan 2 - Tsukanpo Fighter (Japan),"1,572,864",12
Great Circus Mystery Starring Mickey & Minnie The (USA),"1,572,864",12
Super Yakyuudou (Japan),"1,572,864",12
NBA Live 96 (USA),"1,572,864",12
NBA Live 96 (Europe),"1,572,864",12
7th Saga The (USA),"1,572,864",12
46 Okunen Monogatari - Harukanaru Eden e (Japan),"1,572,864",12
NBA Live 95 (USA),"1,572,864",12
NBA Live 95 (Japan),"1,572,864",12
Super Wrestle Angels (Japan),"1,572,864",12
NBA Live 95 (Europe),"1,572,864",12
Hakunetsu Pro Yakyuu '93 - Ganba League (Japan),"1,572,864",12
Hameln no Violin Hiki (Japan),"1,572,864",12
Hanguk Pro Yagu (Korea),"1,572,864",12
Crystal Beans from Dungeon Explorer (Japan),"1,572,864",12
Haou Taikei Ryuu Knight - Lord of Paladin (Japan) (Beta),"1,572,864",12
Haou Taikei Ryuu Knight - Lord of Paladin (Japan) (Rev 1),"1,572,864",12
Haou Taikei Ryuu Knight - Lord of Paladin (Japan),"1,572,864",12
Crayon Shin-chan - Arashi o Yobu Enji (Japan),"1,572,864",12
Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan),"1,572,864",12
Rin Kaihou Kudan no Igo Taidou (Japan),"1,572,864",12
Akazukin Chacha (Japan),"1,572,864",12
Rise of the Phoenix (USA),"1,572,864",12
Xak - The Art of Visual Stage (Japan),"1,572,864",12
Yam Yam (Japan),"1,572,864",12
Yokoyama Mitsuteru Sangokushi 2 (Japan),"1,572,864",12
Breath of Fire - Ryuu no Senshi (Japan),"1,572,864",12
Breath of Fire - Ryuu no Senshi (Japan) (Rev 1),"1,572,864",12
Yokoyama Mitsuteru Sangokushi Bangi - Sugoroku Eiyuu-ki (Japan),"1,572,864",12
Pac-Man 2 - The New Adventures (Europe),"1,572,864",12
Pac-Man 2 - The New Adventures (France),"1,572,864",12
Heian Fuuunden (Japan),"1,572,864",12
Super Star Wars - The Empire Strikes Back (USA),"1,572,864",12
Super Star Wars - The Empire Strikes Back (USA) (Rev 1),"1,572,864",12
Super Star Wars - The Empire Strikes Back (Europe),"1,572,864",12
Super Star Wars - The Empire Strikes Back (Europe) (Rev 1),"1,572,864",12
Super Star Wars - The Empire Strikes Back (Europe) (Beta),"1,572,864",12
Super Star Wars - Teikoku no Gyakushuu (Japan),"1,572,864",12
Bugs Bunny - Rabbit Rampage (USA),"1,572,864",12
Robotrek (USA),"1,572,864",12
Heiwa Pachinko World (Japan),"1,572,864",12
Hello! Pac-Man (Japan),"1,572,864",12
Hero Senki - Project Olympus (Japan),"1,572,864",12
Donald Duck no Mahou no Boushi (Japan),"1,572,864",12
Deae Tonosama - Appare Ichiban (Japan),"1,572,864",12
Motteke Oh! Dorobou (Japan),"1,572,864",12
Pac-Man 2 - The New Adventures (Germany),"1,572,864",12
Hiouden - Mamono-tachi to no Chikai (Japan),"1,572,864",12
Hiryuu no Ken S - Golden Fighter (Japan),"1,572,864",12
Rockman X (Japan) (Rev 1),"1,572,864",12
Rockman X (Japan),"1,572,864",12
Rockman X2 (Japan),"1,572,864",12
Hiryuu no Ken S - Hyper Version (Japan),"1,572,864",12
Hokuto no Ken 6 - Gekitou Denshouken Haou e no Michi (Japan),"1,572,864",12
Pac-Man 2 - The New Adventures (USA),"1,572,864",12
Rocko's Modern Life - Spunky's Dangerous Day (USA),"1,572,864",12
Super Shougi 3 - Kitaihei (Japan),"1,572,864",12
Super Shougi 2 (Japan),"1,572,864",12
Combatribes The (USA),"1,572,864",12
Combatribes The (Japan),"1,572,864",12
Rokudenashi Blues - Taiketsu! Tokyo Shitennou (Japan),"1,572,864",12
Home Improvement - Power Tool Pursuit! (USA),"1,572,864",12
Romance of the Three Kingdoms III - Dragon of Destiny (USA),"1,572,864",12
Honke Sankyo Fever - Jikki Simulation (Japan),"1,572,864",12
Honke Sankyo Fever 2 - Jikki Simulation (Japan),"1,572,864",12
Super Robot Taisen EX (Japan),"1,572,864",12
Super Real Mahjong PV Paradise - All-Star 4-nin Uchi (Japan),"1,572,864",12
Houkago in Beppin Jogakuin (Japan),"1,572,864",12
Hyper Iria (Japan) (Sample),"1,572,864",12
Hyper Iria (Japan),"1,572,864",12
Super Power League (Japan),"1,572,864",12
Super Pinball II - The Amazing Odyssey (Japan),"1,572,864",12
Picross NP Vol. 8 (Japan) (Rev 1) (NP),"1,572,864",12
Itadaki Street 2 - Neon Sign wa Barairo ni (Japan) (Beta),"1,572,864",12
Amazing Spider-Man The - Lethal Foes (Japan),"1,572,864",12
Itadaki Street 2 - Neon Sign wa Barairo ni (Japan),"1,572,864",12
Rushing Beat Ran - Fukusei Toshi (Japan),"1,572,864",12
Wayne Gretzky and the NHLPA All-Stars (USA),"1,572,864",12
J.League Excite Stage '94 (Japan),"1,572,864",12
J.League Excite Stage '95 (Japan) (Sample),"1,572,864",12
J.League Excite Stage '95 (Japan),"1,572,864",12
Super Nazo Puyo Tsuu - Rulue no Tetsuwan Hanjouki (Japan),"1,572,864",12
Benkei Gaiden - Suna no Shou (Japan),"1,572,864",12
J.League Soccer Prime Goal 2 (Japan),"1,572,864",12
J.League Super Soccer (Japan),"1,572,864",12
Super Moero!! Pro Yakyuu (Japan),"1,572,864",12
Picross NP Vol. 8 (Japan) (NP),"1,572,864",12
SD Gundam G Next (Japan),"1,572,864",12
Aoki Densetsu Shoot! (Japan) (Beta),"1,572,864",12
Aoki Densetsu Shoot! (Japan),"1,572,864",12
Super Mad Champ (Japan),"1,572,864",12
Super Kyuukyoku Harikiri Stadium 2 (Japan),"1,572,864",12
Super Kyuukyoku Harikiri Stadium (Japan),"1,572,864",12
Beavis and Butt-Head (USA),"1,572,864",12
Picross NP Vol. 7 (Japan) (Rev 1) (NP),"1,572,864",12
Beavis and Butt-Head (Europe),"1,572,864",12
Monopoly Game 2 The (Japan),"1,572,864",12
Picross NP Vol. 7 (Japan) (NP),"1,572,864",12
Picross NP Vol. 6 (Japan) (Rev 1) (NP),"1,572,864",12
Super Keirin (Japan),"1,572,864",12
Mizuki Shigeru no Youkai Hyakkiyakou (Japan),"1,572,864",12
Bazoe! Mahou Sekai (Japan),"1,572,864",12
Super Keiba 2 (Japan),"1,572,864",12
Picross NP Vol. 6 (Japan) (NP),"1,572,864",12
Militia (Japan),"1,572,864",12
Breath of Fire (USA),"1,572,864",12
Mighty Morphin Power Rangers - The Movie (USA),"1,572,864",12
Mighty Morphin Power Rangers - The Movie (Europe),"1,572,864",12
Brawl Brothers - Rival Turf! 2 (Europe),"1,572,864",12
Mighty Morphin Power Rangers - The Fighting Edition (USA),"1,572,864",12
Mighty Morphin Power Rangers - The Fighting Edition (Europe),"1,572,864",12
Brawl Brothers (USA),"1,572,864",12
Sailormoon (France),"1,572,864",12
Pachinko Monogatari 2 - Nagoya Shachihoko no Teiou (Japan),"1,572,864",12
Super Honmei - GI Seiha (Japan),"1,572,864",12
Samsara Naga 2 (Japan),"1,572,864",12
Jimmy Houston's Bass Tournament U.S.A. (USA),"1,572,864",12
Jissen Bass Fishing Hisshouhou in USA (Japan),"1,572,864",12
Jissen Kyoutei (Japan),"1,572,864",12
Jissen Pachinko Hisshouhou! 2 (Japan),"1,572,864",12
Chou Gojira - Super Godzilla (Japan),"1,572,864",12
Sangokushi III (Hong Kong),"1,572,864",12
Sangokushi III (Japan) (Rev 1),"1,572,864",12
Sangokushi III (Japan),"1,572,864",12
Chou Gojira - Super Godzilla (Japan) (Rev 1),"1,572,864",12
Dolucky no A.League Soccer (Japan),"1,572,864",12
Sangokushi Seishi - Tenbu Spirits (Japan),"1,572,864",12
Might and Magic III - Isles of Terra (USA),"1,572,864",12
Might and Magic III - Isles of Terra (USA) (Beta),"1,572,864",12
BattleTech 3050 (Japan),"1,572,864",12
Pachinko Tetsujin - Nanaban Shoubu (Japan),"1,572,864",12
Super Gussun Oyoyo (Japan),"1,572,864",12
Super Gussun Oyoyo (Japan) (Sample),"1,572,864",12
Super Gussun Oyoyo (Japan) (Beta),"1,572,864",12
Super Godzilla (USA),"1,572,864",12
Parlor! Mini 4 - Pachinko Jikki Simulation Game (Japan),"1,572,864",12
Super Genjin 2 (Japan),"1,572,864",12
Super Genjin (Japan),"1,572,864",12
Super Formation Soccer 96 - World Club Edition (Japan),"1,572,864",12
Super Formation Soccer 95 della Serie A (Japan),"1,572,864",12
Super Formation Soccer 95 della Serie A (Japan) (UCC Xaqua Version),"1,572,864",12
Super Fishing Big Fight (Japan),"1,572,864",12
Super Fire Pro Wrestling III - Final Bout (Japan),"1,572,864",12
Super Fire Pro Wrestling III - Final Bout (Japan) (Rev 1),"1,572,864",12
Super Fire Pro Wrestling III - Easy Type (Japan),"1,572,864",12
Super Fire Pro Wrestling 3 (Japan) (Sample),"1,572,864",12
Jungle Wars 2 - Kodai Mahou Atimos no Nazo (Japan),"1,572,864",12
Dokapon 3-2-1 - Arashi o Yobu Yuujou (Japan),"1,572,864",12
Super F1 Circus 2 (Japan),"1,572,864",12
Asterix & Obelix (Europe) (EnFrDeEs),"1,572,864",12
Jutei Senki (Japan),"1,572,864",12
Dokapon 3-2-1 - Arashi o Yobu Yuujou (Japan) (Rev 1),"1,572,864",12
Mickey to Minnie - Magical Adventure 2 (Japan),"1,572,864",12
Kabuki Rocks (Japan),"1,572,864",12
Mickey to Minnie - Magical Adventure 2 (Japan) (Sample),"1,572,864",12
Battle Zeque Den (Japan),"1,572,864",12
Dear Boys (Japan),"1,572,864",12
Mickey no Tokyo Disneyland Daibouken (Japan),"1,572,864",12
Sgt. Saunders' Combat! (Japan),"1,572,864",12
Kakinoki Shougi (Japan),"1,572,864",12
Super Chinese World 3 - Chou Jigen Daisakusen (Japan),"1,572,864",12
Kamen Rider (Japan),"1,572,864",12
Kawa no Nushi Tsuri 2 (Japan),"1,572,864",12
Kawasaki Caribbean Challenge (USA),"1,572,864",12
Ys IV - Mask of the Sun (Japan),"1,572,864",12
Yumemaboroshi no Gotoku (Japan),"1,572,864",12
Death Brade (Japan),"1,572,864",12
Chaos Engine The (Europe),"1,572,864",12
Kenyuu Densetsu Yaiba (Japan),"1,572,864",12
Metal Morph (USA),"1,572,864",12
Super Bonk (USA),"1,572,864",12
Metal Marines (USA),"1,572,864",12
Metal Marines (Europe),"1,572,864",12
Super Bomberman 3 (Europe),"1,572,864",12
Kidou Keisatsu Patlabor (Japan),"1,572,864",12
Kidou Senshi Gundam - Cross Dimension 0079 (Japan),"1,572,864",12
Shichuusuimeigaku Nyuumon - Shin Tougenkyou (Japan),"1,572,864",12
Kidou Senshi V Gundam (Japan),"1,572,864",12
Ball Bullet Gun (Japan),"1,572,864",12
Super Bomber Man 3 (Japan),"1,572,864",12
Shijou Saikyou League Serie A - Ace Striker (Japan),"1,572,864",12
Super Bomber Man 3 (Japan) (Beta),"1,572,864",12
Shiki Eiyuu Den - Jinryuu Densetsu (Japan),"1,572,864",12
Kikikai-kai - Tsukiyo Soushi (Japan),"1,572,864",12
Melfand Stories (Japan),"1,572,864",12
Barkley Shut Up and Jam! (Europe),"1,572,864",12
Super Bases Loaded 2 (USA),"1,572,864",12
Shin Megami Tensei (Japan) (Rev 1),"1,572,864",12
Shin Megami Tensei (Japan),"1,572,864",12
Barkley Shut Up and Jam! (USA),"1,572,864",12
Super B.C. Kid (Europe),"1,572,864",12
Barkley no Power Dunk (Japan) (En),"1,572,864",12
Bass Masters Classic (Japan),"1,572,864",12
Super Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),"1,572,864",12
Zan III Spirits (Japan),"1,572,864",12
Paladin's Quest (USA),"1,572,864",12
Bass Masters Classic (USA),"1,572,864",12
Super Adventure Island II (USA),"1,572,864",12
Super Adventure Island II (Europe),"1,572,864",12
Super 3D Baseball (Japan),"1,572,864",12
Shin SD Sengokuden - Daishougun Retsuden (Japan),"1,572,864",12
Kishin Kourinden Oni (Japan) (Beta),"1,572,864",12
Kishin Kourinden Oni (Japan),"1,572,864",12
Derby Stallion II (Japan),"1,572,864",12
Brandish (USA),"1,572,864",12
Mega Man X2 (USA),"1,572,864",12
Mega Man X2 (Europe),"1,572,864",12
Mega Man X (USA),"1,572,864",12
Mega Man X (USA) (Rev 1),"1,572,864",12
Shinseiki Odysselya (Japan),"1,572,864",12
Knights of the Round (Europe),"1,572,864",12
Mega Man X (Europe),"1,572,864",12
Shiroi Ring e - Twinkle Little Star (Japan),"1,572,864",12
Derby Jockey 2 (Japan),"1,572,864",12
Bastard!! - Ankoku no Hakaishin (Japan),"1,572,864",12
Knights of the Round (Japan),"1,572,864",12
Derby Jockey 2 (Japan) (Rev 1),"1,572,864",12
MechWarrior 3050 (USA),"1,572,864",12
MechWarrior 3050 (Europe),"1,572,864",12
Knights of the Round (USA),"1,572,864",12
Konpeki no Kantai (Japan),"1,572,864",12
Kouryuuki (Japan),"1,572,864",12
Koushien 3 (Japan),"1,572,864",12
Shounen Ninja Sasuke (Japan) (Sample),"1,572,864",12
Shounen Ninja Sasuke (Japan),"1,572,864",12
Shounin yo Taishi o Idake!! (Japan),"1,572,864",12
Shuushoku Game (Japan),"1,572,864",12
Brandish (Japan),"1,572,864",12
Sid Meier's Civilization (USA),"1,572,864",12
Koutetsu no Kishi 2 - Sabaku no Rommel Gundan (Japan),"1,572,864",12
Koutetsu no Kishi 3 - Gekitotsu Europe Sensen (Japan) (Rev 1) (NP),"1,572,864",12
Koutetsu no Kishi 3 - Gekitotsu Europe Sensen (Japan),"1,572,864",12
Kunio-kun no Dodge Ball Da yo Zenin Shuugou! (Japan),"1,572,864",12
Masters - Harukanaru Augusta 2 (Japan),"1,572,864",12
Kuusou Kagaku Sekai Gulliver Boy (Japan),"1,572,864",12
La Wares (Japan),"1,572,864",12
Brain Lord (USA),"1,572,864",12
Star Trek - Deep Space Nine - Crossroads of Time (USA) (Beta),"1,572,864",12
Larry Nixon's Super Bass Fishing (Japan) (Rev 1),"1,572,864",12
Larry Nixon's Super Bass Fishing (Japan),"1,572,864",12
Captain Tsubasa IV - Pro no Rival-tachi (Japan),"1,572,864",12
St. Andrews - Eikou to Rekishi no Old Course (Japan),"1,572,864",12
Sprinter Monogatari - Mezase!! Ikkakusenkin (Japan),"1,572,864",12
Zig Zag Cat - Dachou Club mo Oosawagi da (Japan),"1,572,864",12
Lennus - Kodai Kikai no Kioku (Japan),"1,572,864",12
Battle Dodge Ball II (Japan),"1,572,864",12
Spider-Man (USA) (Beta),"1,572,864",12
Parlor! Parlor! 5 (Japan),"1,572,864",12
Densetsu no Ogre Battle - The March of the Black Queen (Japan),"1,572,864",12
Love Quest (Japan),"1,572,864",12
Lucky Luke (Europe) (EnFrDeEs),"1,572,864",12
Lupin Sansei - Densetsu no Hihou o Oe! (Japan),"1,572,864",12
Capcom's Soccer Shootout (USA),"1,572,864",12
Madden NFL 96 (USA) (Sample),"1,572,864",12
Soul & Sword (Japan),"1,572,864",12
Madden NFL 96 (USA),"1,572,864",12
Majuu Ou (Japan),"1,572,864",12
Sougou Kakutougi - Astral Bout 2 - The Total Fighters (Japan),"1,572,864",12
Majin Tensei (Japan),"1,572,864",12
Majin Tensei (Japan) (Rev 2),"1,572,864",12
Slap Stick (Japan),"1,572,864",12
Slayers (Japan),"1,572,864",12
Majin Tensei (Japan) (Rev 1),"1,572,864",12
Madden NFL 97 (USA),"1,572,864",12
2020 Super Baseball (USA),"1,572,864",12
Cannon Fodder (Europe),"1,572,864",12
2020 Super Baseball (Japan),"1,572,864",12
Magna Braban - Henreki no Yuusha (Japan),"1,572,864",12
Sonic Blast Man II (USA),"1,572,864",12
Cannondale Cup (USA),"1,572,864",12
Brain Lord (Japan),"1,572,864",12
Soccer Kid (Japan) (Beta),"1,572,864",12
Magic Knight Rayearth (Japan),"1,572,864",12
Soccer Shootout (Europe),"1,572,864",12
Soldiers of Fortune (USA),"1,572,864",12
Sonic Blast Man II (Japan),"1,572,864",12
Operation Europe - Path to Victory 1939-45 (USA),"1,310,720",10
Pachi-Slot Monogatari - PAL Kougyou Special (Japan),"1,310,720",10
P.T.O. - Pacific Theater of Operations (USA),"1,310,720",10
Wagyan Paradise (Japan),"1,310,720",10
Operation Thunderbolt (USA),"1,310,720",10
Soccer Kid (Japan),"1,310,720",10
Soccer Kid (Europe) (EnFrDeEsIt),"1,310,720",10
Smurfs Travel the World The (Europe) (EnFrDeEs),"1,310,720",10
Sonic Wings (Japan),"1,310,720",10
Logos Panic Goaisatsu (Japan),"1,310,720",10
Liberty or Death (USA),"1,310,720",10
Spirou (Europe) (EnFrDeEs),"1,310,720",10
Battle Pinball (Japan),"1,310,720",10
Sid Meier's Civilization (USA) (Beta),"1,310,720",10
Battle Soccer 2 (Japan),"1,310,720",10
Mega Man Soccer (USA),"1,310,720",10
Kiteretsu Daihyakka - Choujikuu Sugoroku (Japan),"1,310,720",10
Sugoi Hebereke (Japan),"1,310,720",10
Super Air Diver 2 (Japan),"1,310,720",10
Kirby Bowl (Japan),"1,310,720",10
Michael Jordan - Chaos in the Windy City (Europe),"1,310,720",10
Michael Jordan - Chaos in the Windy City (USA),"1,310,720",10
